job_salary,job_name,job_overlook,job_tempt,job_location,job_descript,company_name,company_field,company_stage,company_size,company_website
15k-25k,高级Java开发工程师,"
                    15k-25k 
                    /广州 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",上市公司+班车+食堂+有竞争力的薪资待遇,"广州 -
                    天河区
                                            - 天河智慧城新岑四路2号佳都智慧大厦
                                                            查看地图","
        职位诱惑：
        上市公司+班车+食堂+有竞争力的薪资待遇
    
        职位描述：
        
        岗位职责：
1、负责产品的需求分析和系统设计相关工作
2、负责产品核心模块的开发工作

任职要求：
1、计算机相关专业本科及以上学历，3年以上软件开发经验，能够独立开发JAVA后台应用程序；
2、熟练掌握Web开发相关技术，深度理解MVC模式，熟悉Spring、Struts、 Hibernate等开发框架 ；
3、熟练Tomcat、nginx等J2EE应用服务器的配置部署；
4、熟悉多线程、WebService、TCP/IP协议、Socket网络编程，熟悉分布式、缓存、消息等机制；
5、熟悉Linux/Unix基本命令、shell脚本编程；
6、熟悉Oracle、mySQL等关系型数据库设计和开发；
7、了解Kafka、redis、ElasticSearch 等开源框架，有实际开发经验优先；
8、有大规模、高并发通信和存储项目开发经验者优先。
        
    
                工作地址
        
                                                广州 -
                    天河区
                                            - 天河智慧城新岑四路2号佳都智慧大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        胡小姐
                                                                
                                        
                    
                    
                    
                    
                
                 HRBP 
                
                刚刚活跃
                            
                                                
    ",佳都科技,"移动互联网,数据服务",上市公司上海证券交易所A股主板上市(上市公司),2000人以上,http://www.pci-suntektech...
12k-20k,java开发工程师,"
                    12k-20k 
                    /杭州 /
                    经验3-5年 /
                    大专及以上 /
                    全职
                ",五险一金 加班补贴 年底奖金,"杭州 -
                    滨江区 -
                    西兴
                                            - 滨兴路1866号阿里中心3号楼601室
                                                            查看地图","
        职位诱惑：
        五险一金 加班补贴 年底奖金
    
        职位描述：
        
        岗位职责：
1、根据开发规范独立完成功能模块的的设计、编码与维护；
2、独立进行软件单元、功能的测试，查出软件存在的缺陷并保证其质量；
3、具有良好的编码习惯，良好的问题分析、代码调试、故障定位和解决能力；
4、能发现系统中存在的性能等问题并提出改进方案
任职要求：
1、大学专科以上学历，计算机或相关专业；拿到毕业证后3年以上java实际项目开发经验；
2、Java基础扎实、理解JVM原理、有多线程、并发系统开发经验的优先考虑；
3、熟悉主流开源框架，如Spring、spring mvc、SpringCloud、MyBatis、velocity、XML、JSON、Maven、Dubbo、ZooKeeper, nginx等；
4、熟悉MySQL等关系型数据库，以及相应数据库调优、SQL优化；
5、有一年以上工业品电商开发经验的优先考虑；
6、有Redis、elasticsearch,hadoop、hive、pig、hbase、kafka、python、storm实战经验优先考虑;
7、良好的学习能力、团队协作能力和沟通能力；善于思考，能独立分析和解决问题
工作地址
        
    
                工作地址
        
                                                杭州 -
                    滨江区 -
                    西兴
                                            - 滨兴路1866号阿里中心3号楼601室
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        陈琪
                                                                
                                        
                    
                    
                    
                    
                
                 总经理助理 
                
                刚刚活跃
                            
                                                
    ",宏伟数据,"电商,软件开发",未融资,150-500人,http://www.hw-supply.com/
20k-40k·13薪,高级java开发工程师,"
                    20k-40k·13薪 
                    /北京 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",不打卡、免费零食、六险一金、住房房补,"北京 -
                    朝阳区 -
                    大望路
                                            - 东方梅地亚中心C座707室
                                                            查看地图","
        职位诱惑：
        不打卡、免费零食、六险一金、住房房补
    
        职位描述：
        
        我们提供：
1、几千万级PV-WEB站+百万级日活APP流量挑战(且高速增长中)
2、高可用高并发系统架构Kubernets+Docker+DNN技术挑战
3、与资深老鸟程序员一起尝试各种新技术/解决各类疑难杂症，快速学习和成长
4、极具竞争力的薪水及加班双倍薪资,无限量水果零食,办公室5.1立体环绕音响24小时可用,年度旅游,定期团建~
5、租房补贴,司龄补贴
6、公司氛围：因为简单，所以信任；因为信任，所以简单！

我们期望：
1.计算机/软件工程相关专业背景，逻辑思维强,有扎实的数学功底；
2.充满好奇心，享受coding，学习能力强，有代码洁癖，喜欢捣鼓各类技术
3.熟练使用JAVA/SpringMVC/Dubbo/Cache/Linux,且了解其实现原理
4.熟练掌握代码重构/服务器优化/数据库优化/缓存优化等方案,有高并发系统设计/架构经验,深度掌握微服务思想
5.熟悉Docker,Kubernetes等devops优先
6.对数据挖掘、机器学习、深度学习算法有兴趣者优先
7.有客户端开发经验且热爱全栈编程者优先
        
    
                工作地址
        
                                                北京 -
                    朝阳区 -
                    大望路
                                            - 东方梅地亚中心C座707室
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        田利斌
                                                                
                                        
                    
                    
                    
                    
                
                 技术总监 
                
                当前在线
                            
                                                
    ",话本小说,"移动互联网,文娱丨内容",A轮,15-50人,http://www.ihuaben.com
25k-35k,java高级开发工程师,"
                    25k-35k 
                    /上海 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",年终奖 员工体检,"上海 -
                    长宁区 -
                    中山公园
                                            - 上海市长宁区愚园路1258号绿地商务大厦1109室
                                                            查看地图","
        职位诱惑：
        年终奖 员工体检
    
        职位描述：
        
        岗位描述：
1. 参与公司电商服务端平台的重构，拆分业务。包括需求分析、迭代设计、开发、测试和发布，交付高质量的后台服务，并撰写相关文档。
2. 负责核心技术问题的攻关，架构设计、系统优化，协助解决项目开发过程中的技术难题。

岗位要求：
1、统招本科及以上学历，2年以上JAVA开发经验，精通Java语言，对面向对象程序设计、JVM、GC等有深入理解。精通spring cloud/spring boot，MyBatis，熟练掌握Java开发技术和常见框架。
2. 熟悉高并发、多线程并发编程、分布式系统，异步消息和微服务框架，对Java性能调优有丰富的线上问题解决经验。
3. 熟悉MySQL或MangoDB等数据库的开发。
4. 熟悉常用设计模式、UML、RESTful API设计规范，具备良好的编码规范，问题排查能力，能独立担当模块的设计开发。
5. 具有良好的沟通能力和团队合作能力。
优先选择：
1、有电商平台开发经验者优先。
2. 精通以下技术者优先：消息中间件(kafka, RabbitMQ)、ES、分布式配置中心、dubbo、熟悉 docker 容器、k8s、分库分表技术。
        
    
                工作地址
        
                                                上海 -
                    长宁区 -
                    中山公园
                                            - 上海市长宁区愚园路1258号绿地商务大厦1109室
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        王春燕
                                                                
                                        
                    
                    
                    
                    
                
                 招聘负责人 
                
                今日活跃
                            
                                                
    ",格罗夫,电商,不需要融资,500-2000人,https://www.lagou.com/gon...
8k-15k,java开发工程师,"
                    8k-15k 
                    /济南 /
                    经验3-5年 /
                    大专及以上 /
                    全职
                ",非外包、双屏显示器、餐厅、独立办公楼层,"济南 -
                    市中区 -
                    长途汽车站
                                            - 绿地商圈
                                                            查看地图","
        职位诱惑：
        非外包、双屏显示器、餐厅、独立办公楼层
    
        职位描述：
        
        1、计算机及相关专业专科以上学历，2年及以上软件开发经验。
2、熟练掌握Java语言和J2EE规范，熟悉Linux，能够熟练使用ExtJS、JMS、MQ、EJB/Ibatis等技术；
3、熟练使用oracle数据库，tomcat
4、熟练使用各种服务框架和数据协议，能够独立承担功能模块的开发、单元测试工作；
5、能吃苦耐劳
6、积极主动，乐于分享，责任感强，有良好的团队精神。
7、薪资8000-15000，具体面谈；
8、有POS机等支付行业工作或金融支付类软件开发经验者优先录用。
工作待遇：
1、薪资8K起。员工每月有一天带薪病假
2、缴纳五险，法定节假日，过节福利
3、岗前培训
4、单双休轮休
5、定期聚餐，举办活动
6、有完善的晋升制度
7、公司位置临近万达广场、绿地中心，交通便利
我们的优势：
1、独立办公楼层。
2、员工餐厅及茶水室（提供冰箱、微波炉使用）
3、员工户外休闲区域
        
    
                工作地址
        
                                                济南 -
                    市中区 -
                    长途汽车站
                                            - 绿地商圈
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        乔
            
                        
                
                                        乔女士
                                                                
                                        
                    
                    
                    
                    
                
                 人事 
                
                今日活跃
                            
                                                
    ",海息科技,其他,未融资,50-150人,http://www.ehixi.com
10k-20k,java,"
                    10k-20k 
                    /济南 /
                    经验5-10年 /
                    大专及以上 /
                    全职
                ",非外包、双屏显示器、餐厅、独立办公楼层,"济南 -
                    市中区 -
                    长途汽车站
                                            - 绿地商圈
                                                            查看地图","
        职位诱惑：
        非外包、双屏显示器、餐厅、独立办公楼层
    
        职位描述：
        
        1、专科以上学历，3年及以上软件开发经验。
2、熟练掌握Java语言和J2EE规范，熟悉Linux，能够熟练使用ExtJS、JMS、MQ、EJB/Ibatis等技术；
3、熟练使用oracle数据库，tomcat
4、熟练使用各种服务框架和数据协议，能够独立承担功能模块的开发、单元测试工作；
5、能吃苦耐劳
6、积极主动，乐于分享，责任感强，有良好的团队精神。
工作待遇：
1、薪资（10K-20K），可面谈，员工每月有一天带薪病假;
2、缴纳五险，法定节假日，过节福利;
3、岗前培训;
4、单双休轮休;
5、定期聚餐，举办活动;
6、有完善的晋升制度;
7、公司位置临近万达广场、绿地中心，交通便利;
我们的优势：
1、公司技术团队、非外包。
2、独立办公楼层。
3、员工餐厅及茶水室（提供冰箱、微波炉、咖啡机、电视机使用）
4、员工户外休闲区域（公司提供健身器材、淋浴房）
5、双屏显示器
        
    
                工作地址
        
                                                济南 -
                    市中区 -
                    长途汽车站
                                            - 绿地商圈
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        乔
            
                        
                
                                        乔女士
                                                                
                                        
                    
                    
                    
                    
                
                 人事 
                
                今日活跃
                            
                                                
    ",海息科技,其他,未融资,50-150人,http://www.ehixi.com
18k-30k,JAVA,"
                    18k-30k 
                    /杭州 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",大牛团队 大数据产品,"杭州 -
                    萧山区
                                            - 杭州湾信息港F座
                                                            查看地图","
        职位诱惑：
        大牛团队 大数据产品
    
        职位描述：
        
        岗位职责：
1、负责产品的后端数据架构和服务架构设计与落地
2、负责公司产品线业务支持与落地
3、负责后端小组成员成长、沉淀、输出

任职要求：
2年以上后端/java开发经验
1、完善的技术体系知识，对于技术方案宏观到微观都有较好把握
2、有一定分布式计算引擎应用经历
3、开放积极的文化与态度。，
        
    
                工作地址
        
                                                杭州 -
                    萧山区
                                            - 杭州湾信息港F座
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        Eric
                                                                
                                        
                    
                    
                    
                    
                
                 Manager 
                
                当前在线
                            
                                                
    ",知衣科技,"移动互联网,电商",A轮,50-150人,https://www.zhiyitech.cn/
9k-15k,java开发工程师,"
                    9k-15k 
                    /南宁 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",发展前景广,"南宁 -
                    良庆区
                                            - 南宁市良庆区平乐大道15号五象绿地中心2号楼801
                                                            查看地图","
        职位诱惑：
        发展前景广
    
        职位描述：
        
        2年以上Java工作经验，需要有管理经验，类似组长带团队5-6人
        
    
                工作地址
        
                                                南宁 -
                    良庆区
                                            - 南宁市良庆区平乐大道15号五象绿地中心2号楼801
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        胡玲
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                刚刚活跃
                            
                                                
    ",武汉佰钧成技术有限责任公司,移动互联网,不需要融资,2000人以上,http://www.bill-jc.com/
15k-25k,java开发工程师,"
                    15k-25k 
                    /上海 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",公司项目佳 团队氛围好,"上海 -
                    浦东新区 -
                    曹路
                                            - 金海路3288号联明培训中心5楼
                                                            查看地图","
        职位诱惑：
        公司项目佳 团队氛围好
    
        职位描述：
        
        1.3年以上Java开发经验， 有丰富Java编程、设计经验；2.熟练使用Java常用框架和工具，如 Spring boot 、Spring Cloud、SpringMVC、Struts、Hibernate、Mybatis等3.熟悉Redis、Memcache/Couchbase等，缓存设计和模式及其应用；4.熟练掌握Oracle、MySQL等数据库；5.熟悉Docker，有Kubernetes服务编排经验加分；6.熟练掌握消息队列的使用，熟悉rabbitmq；7.有较强的业务理解能力，对业务有深入了解，有电商开发经验优先；
        
    
                工作地址
        
                                                上海 -
                    浦东新区 -
                    曹路
                                            - 金海路3288号联明培训中心5楼
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        甘女士
                                                                
                                        
                    
                    
                    
                    
                
                 人事 
                
                今日活跃
                            
                                                
    ",易乎社区,"移动互联网,消费生活",不需要融资,50-150人,http://www.ehoo100.com
25k-35k·15薪,java开发工程师,"
                    25k-35k·15薪 
                    /北京 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",五险一金、节日福利、加班餐、行业TOP,"北京 -
                    海淀区 -
                    中关村
                                            - e世界财富中心A座5层
                                                            查看地图","
        职位诱惑：
        五险一金、节日福利、加班餐、行业TOP
    
        职位描述：
        
        岗位职责：1.负责 Java后端的研发工作，要求开发的系统具有高性能和高可靠性；2.提升产品的用户体验、后端性能以及团队的开发效率；3.研究和探索创新的开发思路和前沿的后端技术，应用到团队与产品中。岗位要求：1.本科及以上学历，5年Java开发经验，精通Java及面向对象设计开发，熟悉主流web框架； 2.熟悉数据库SQL优化，具备一定的数据库设计能力； 3.精通Linux/Unix平台上的Java编程，熟悉Spring、Struts、Hibernate等开源框架，熟悉脚本编程，有良好的编程习惯；4.精通网络编程、多线程编程，熟悉Nignx、Tomcat等Web服务器技术，熟悉Thrift等RPC编程框架；5.了解Memcache/Redis等缓存，熟悉Mysql、MongoDB等数据库，有高性能、高并发大规模分布式计算服务开发经验；6.对数据结构和算法设计具有较深的理解，有多年系统分析和设计的实践经验；7.具备较强的责任心及团队合作精神，有比较强的抗压能力。【加分项】1.参与开源项目or对开源社区有贡献2.关注新事物、新技术，有较强的学习能力，喜欢挑战
        
    
                工作地址
        
                                                北京 -
                    海淀区 -
                    中关村
                                            - e世界财富中心A座5层
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        王
            
                        
                
                                        王惠爱
                                                                
                                        
                    
                    
                    
                    
                
                 HRBP 
                
                刚刚活跃
                            
                                                
    ",DaDa,教育,D轮及以上完成了 2.55 亿美元 D 轮融资，由华平领投，老股东好未来和涌铧投资跟投。(D轮及以上)，完成C轮1亿美元融资，投资方为老虎基金及好未来(C轮)，完成B+轮融资，东方富海领投、上轮投资人涌铧投资继续跟投(B轮)，涌铧投资(B轮)，龙腾资本、青松基金、飞马基金(A轮)，腾讯天使、A轮投资人共同投资DaDaABC(A轮),2000人以上,http://WWW.DADAABC.COM
12k-18k·13薪,java开发工程师,"
                    12k-18k·13薪 
                    /上海 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",外企工作环境，弹性工作制，薪资open。,"上海 -
                    浦东新区 -
                    张江
                                            - 晨晖路1000号W1座
                                                            查看地图","
        职位诱惑：
        外企工作环境，弹性工作制，薪资open。
    
        职位描述：
        
        岗位职责：

所需的技术技能

 Must 熟悉 Core Java (prefer Java 8 +)

 Must 熟悉 Java EE 技术

 Must 熟悉 的 一 个 现代 IoC, OR-Mapping 框架

 Must 熟悉 DB 概念 和 SQL 命令

 Must 熟悉 NoSQL DB(prefer Redis/Gemfire/Neo4j)

 Must 熟悉 现代 MVC 框架 之一

可选的技术技能

 Experience 在 RPC, Restful API, Hessian

 Experience 在 大规模 数据 维护

 Experience Linux 命令 行



需要非技术技能

 Should 至少 有 3 年 工作 经验

 Must 有 良好 的 书面 和 口头 沟通 技巧

 Must 舒适 参与 技术 讨论 和 给予 技术 演示

 Be 高度 motivated, 自 起动 个人 愿意 工作 在 动态 工作 环境

 Work pressure, 管理 下 的 冲突 和 挑战

 Must 演示 分析 思考 和 解决 问题 的 能力





        
    
                工作地址
        
                                                上海 -
                    浦东新区 -
                    张江
                                            - 晨晖路1000号W1座
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        Eric
                                                                
                                        
                    
                    
                    
                    
                
                 招聘专员 
                
                刚刚活跃
                            
                                                
    ",奥解思,金融,上市公司,500-2000人,https://www.lagou.com/gon...
20k-25k,高级Java开发工程师,"
                    20k-25k 
                    /深圳 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",专业通道晋升和管理通道晋升机会，福利多多,"深圳 -
                    南山区
                                            - 滨海大厦
                                                            查看地图","
        职位诱惑：
        专业通道晋升和管理通道晋升机会，福利多多
    
        职位描述：
        
        一. 岗位职责：
1. 负责腾讯财经系统基础架构设计、开发及后期运营； 
2. 负责腾讯财经基础服务建设和运营，如：配置中心、缓存、消息队列、异步任务、服务网关、认证鉴权、工作流等。

二.岗位要求：
1. 计算机相关专业本科及以上学历，5年以上JAVA开发经验，有三年以上大型公司（或系统）开发经验；
2. 精通Spring、MyBatis、SpringMVC、Spring Boot等应用框架并熟悉实现原理；
3. 熟悉分布式缓存、消息中间件、RPC框架、负载均衡、安全防御等技术，掌握各类中间件使用，包括zookeeper、redis、nginx、tomcat等；
4. 精通SQL，熟练主流数据库Oracle/Mysql，具备优秀的数据建模能力和数据库分库分表设计能力；
5. 有大型分布式、微服务系统架构经验，对服务治理有深入理解，使用过dubbo或spring cloud且有实际项目经验；
6. 责任心强，具备良好的问题分析能力、对外沟通能力和团队协作能力，能独立承担任务和有系统进度把控能力；
7. 有大数据处理经验，包括hadoop/storm/spark/hbase/ELK等；在机器学习、深度学习、搜索、广告、推荐 等相关领域有工作经验的优先。
        
    
                工作地址
        
                                                深圳 -
                    南山区
                                            - 滨海大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        腾讯HR
                                                                
                                        
                    
                    
                    
                    
                
                 招聘经理 
                
                刚刚活跃
                            
                                                
    ",腾讯,社交,上市公司,2000人以上,http://hr.tencent.com
10k-15k,java,"
                    10k-15k 
                    /成都 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",周末双休 五险一金,"成都 -
                    高新区
                                            - 高新区创业路300号川喜大厦
                                                            查看地图","
        职位诱惑：
        周末双休 五险一金
    
        职位描述：
        
        岗位职责：
1. 精通Mysql应用开发，熟悉数据库原理和常用性能优化技术，熟悉NOSQL 的原理。
2. 研究过HTTP 协议，搜索引擎，缓存，JVM调优，序列化，NIO，RPC调用框架等。
3.精通Java ，Scala语言中的一种或多种；精通Hadoop ，HBase，Hive，Spark ，Flink等大数据平台或框架的使用。
4. 精通面向对象编程，精通spring，Mybatis，hibernate等流行框架，并理解框架的实现原理，熟悉常见的设计模式。
5. 熟悉分布式缓存，消息中间件，负载均衡。
6.善于分析，归纳，描述，沟通和解决问题。
7.扎实的计算机专业基本功，精通java，强大的编程能力。 
岗位要求：
1.本科及以上学历，计算机相关专业。
2.熟悉设计流程，有高可用，高扩展性，高性能分布式系统的设计经验，有百万级系统设计开发者经验者优先。
3.具体良好的沟通能力及团队协作精神，执行力强。
4.具有高度的责任心与自驱力，良好的沟通协作能力、应急响应与处理问题的能力。
        
    
                工作地址
        
                                                成都 -
                    高新区
                                            - 高新区创业路300号川喜大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        潭小妹
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                今日活跃
                            
                                                
    ",仙潭酒业集团,其他,不需要融资,500-2000人,http://www.lagou.com/gong...
12k-18k,Java高级开发工程师,"
                    12k-18k 
                    /深圳 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",周末双休、五险一金、餐补、上市公司,"深圳 -
                    福田区
                                            - 香梅路中投国际商务中心A座10层AD单元
                                                            查看地图","
        职位诱惑：
        周末双休、五险一金、餐补、上市公司
    
        职位描述：
        
        岗位职责
1、根据产品需求，提供系统规划方案、架构设计方案，并能根据方案展开研发工作；
2、系统核心部分代码编写，系统分析及数据库设计等工作；
3、参与技术架构持续改进过程，按计划实施高可用高并发高可扩展方向的优化。
任职要求
1、计算机、软件工程相关专业级本科及以上学历，具有5年以上中大型互联网平台和软件应用系统的系统设计和开发经验；
2、熟悉SSM、SpringBoot、SpringCloud等常见技术服务框架，熟悉ActiveMQ、RabbitMQ等消息中间件；
3、精通MYSQL等数据库，熟练使用SQL编程（存储过程、函数等），熟悉Redis等非关系数据库，有互联网大数据处理相关经验；
4、熟悉JAVA开发规范，熟悉常用的设计模式，具备良好的技术素养，具备技术架构设计能力；
5、具有事务、大流量、高并发、高性能的项目开发经验，熟悉安全机制及性能调优；
6、熟悉java项目部署，熟悉liunx服务器配置；
7、工作责任心强，优秀的团队协作能力，优秀的学习能力。
        
    
                工作地址
        
                                                深圳 -
                    福田区
                                            - 香梅路中投国际商务中心A座10层AD单元
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        招聘者
                                                                
                                        
                    
                    
                    
                    
                
                 人事经理 
                
                刚刚活跃
                            
                                                
    ",紫元元科技,"移动互联网,医疗丨健康",上市公司,50-150人,http://www.ziyygroup.com
13k-25k,java开发工程师,"
                    13k-25k 
                    /郑州 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",平台稳健 薪资优厚,"郑州 -
                    高新区
                                            - 加速器产业园
                                                            查看地图","
        职位诱惑：
        平台稳健 薪资优厚
    
        职位描述：
        
        岗位职责：
1、负责完成信息系统开发过程中的需求分析、系统设计、代码编写与调试等相关工作。
2、负责所开发模块的开发计划制定、开发进度推进、开发质量保证等相关工作。
3、负责相应研发领域的技术应用趋势跟踪，进行技术分享，促进研发能力提升。
任职要求：
1、大学本科学历，计算机及相关专业毕业。
2、3年以上java开发经验，至少熟悉Java或者其他常用开发语言、操作系统、数据库、中间件。
3、曾在大型/复杂项目承担主要设计编码工作者优先。
4、熟悉分布式技术、具有互联网、支付、银行等领域金融科技工作经验者优先。
5、熟悉CMMI体系、敏捷开发过程体系、具备项目管理专业知识者优先。
6、自主学习能力强，善于沟通和解决问题，有高度责任心和团队精神，能够承担压力、接受挑战。
        
    
                工作地址
        
                                                郑州 -
                    高新区
                                            - 加速器产业园
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        齐经理
                                                                
                                        
                    
                    
                    
                    
                
                 招聘顾问 
                
                刚刚活跃
                            
                                                
    ",牛客科技,"移动互联网,电商",未融资,少于15人,https://www.lagou.com/gon...
15k-20k,高级java开发工程师,"
                    15k-20k 
                    /成都 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",五险一金 ，团队培训,"成都 -
                    高新区
                                            - 高新区剑南大道中段1098号世豪广场A座1412
                                                            查看地图","
        职位诱惑：
        五险一金 ，团队培训
    
        职位描述：
        
        工作职责：

1、承担项目组核心开发或技术设计工作，并能够按要求高质量的完成开发或设计任务；

2、与研发团队、产品团队紧密配合，通过快速迭代交付高质量的产品；

3、负责系统的性能优化、技术难点攻关。任职资格：

1、统招本科以上学历，计算机相关专业，5年及以上Java开发经验；

2、精通Java编程语言和面向对象设计，理解JVM原理，能够实际参与JVM的调优，熟悉高并发应用开发；

3、深刻理解关系型数据库原理，熟练使用Oracle、MySQL数据库，了解数据库优化，对性能与可维护性的平衡有实际经验；

4、熟悉MVC模式，有SpringMVC、SpringBoot、Mybatis、hibernate或其他类似框架的开发经验；

5、熟悉Redis、MongoDB等常用NoSQL数据库，熟悉消息队列，有大数据经验优先；

6、熟悉SOA体系架构、微服务，使用过Rest、Webservice、dubbo、SpringCloud等,并熟悉相关安全技术

7、熟悉Linux系统、Shell程序及Linux环境部署，有系统级调优经验优先；

8、负责指导开发工程师的研发工作，代码审查；

9、对主流技术和框架进行研究，不断改良产品技术；

10、负责研发团队技术指导，解决后端重大技术问题

11、有多线程、高并发、高可用服务设计与研发经验者优先。

12、有activity、flowable、工作流开发和改造经验优先。

其他要求 ：

1、软件工程、计算机科学、网络工程、应用数学专业优先；

2、具有较强的学习能力、逻辑思维能力、良好的规范意识；

3、具有良好的团队合作精神，工作态度敬业务实，积极主动，责任心强；

4、具备较强的逻辑分析和独立解决问题能力。

        
    
                工作地址
        
                                                成都 -
                    高新区
                                            - 高新区剑南大道中段1098号世豪广场A座1412
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        温女士
                                                                
                                        
                    
                    
                    
                    
                
                 行政人事 
                
                刚刚活跃
                            
                                                
    ",容和通科技,"移动互联网,数据服务",未融资,15-50人,https://www.lagou.com/gon...
